question1,question2,is_duplicate
янЁ «Ќ÷—  г—н… «б г— »«бгя”—«  њ,г« Ў—нё…  Ќ÷— «б г—н… «бд«»б”н… њ,0
Ён √н ё«—…  жћѕ г«бн“н«њ,√нд  жћѕ г«бн“н«њ,1
г« ен Ё«∆ѕ… «бЁ«“бнд бб—гж‘њ,еб «бЁ«“бнд нЎжшб «б‘Џ—њ,0
г« «”»«»  «ќ— д“жб «бЌн÷њ,г« еж «бЌн÷њ,0
яг  »бџ «бяЋ«Ё… «б”я«дн… Ён ё»—’њ,яг  ’б «бяЋ«Ё… «б”я«дн… Ён я—ж« н«њ,0
√нд  ёЏ днж“бдѕ«њ,г« ен г”«Ќ… «бћ“н—… «б‘г«бн… «бднж“бдѕн…њ,0
√нд  ёЏ ’—»н« Ён ё«—… √ж—ж»«њ,√нд  жћѕ ’—»н« Ён ё«—… √ж—ж»«њ,1
г« гд«ќ жб«н… √б»— « «б”«∆ѕњ,г« «бгд«ќ «б”«∆ѕ Ён жб«н… √б»— «њ,1
г«–« дЏдн »«бг–я—«  «б«ѕ«—н… њ,г« ен «дж«Џ «бг–я—«  «б«ѕ«—н… њ,0
гд √д‘√ ‘—я… ћжћб њ,г« ен ‘—я… ћжћб њ,0
янЁ  Ўж— «бе« Ё «бгЌгжбњ,янЁ ўе— «бе« Ё «бќбжнњ,0
яг н»бџ «— Ё«Џ е÷»… √ж «џжњ,г« «— Ё«Џ е÷»… √ж «џжњ,1
гд еж «бгѕн— «бЏ«г њ,г« еж  Џ—нЁ «бгѕн— «бЏ«г њ,1
г«–« дё’ѕ »«б‘Џ—њ,г« √егн… «б‘Џ—њ,0
г м д‘√ «б «»б њ,г« ен «” ќѕ«г«  «б «»б њ,0
г« ен гяжд«  «б—”«б… «б—”гн…њ,г«–« дЏдн »«б—”«б… «б—”гн…њ,0
г« еж √ег гж—ѕ бѕЏг «б«ё ’«ѕ Ён гѕџ‘ё—њ,г« √ег гж—ѕ Ён гѕџ‘ё— бѕЏг «б«ё ’«ѕњ,1
√нд жг м √’ѕ—  я«гн—«  «бгдў«—њ,г м ўе—  я«гн—«  «бгдў«— ж√ндњ,1
г« Ў—нё…  Ќ÷н— «бћж“нш… »«б‘жяжб« … ж«б шжЁнњ,гд Ў—ё  Ќ÷н— «б жЁнњ,0
янЁ √Ћ—  «бгќ —Џ«  Џбм Ќн« д«њ,еб √Ћ—  «бгќ —Џ«  Џбм  Ќн« д«њ,1
еб нЁнѕ «б”ѕ— Ён Џб«ћ Ќ» «б‘»«»њ,янЁ √” Ёнѕ гд «б”ѕ— Ён Џб«ћ Ќ» «б‘»«»њ,1
г« жўнЁ… «бг—«—…њ,г« жўнЁ… «б’Ё—«Ѕ Ён «б«д”«дњ,0
»г«–« ”«Џѕ  «б’ќж— «б»—я«дн… «бё«—«  Џбм ”ЎЌ «б√—÷њ,г« «б–н ”«ег е «б’ќж— «б√—÷н… ббё«—«  Џбм б”ЎЌ «б√—÷њ,0
яг ѕн«д… нжћѕ Ён √дѕждн”н«њ,√нд нёЏ—гё— «б»—бг«д «бг«бн“нњ,0
г« ен √еѕ«Ё ѕ—«”… «бћѕжмњ,г« ен «бџ«н… гд ѕ—«”… «бћѕжмњ,1
г« еж «бгд«ќ «бЏ«г Ён б»д«дњ,яг Џѕѕ »бѕн«  ¬н”бдѕ«њ,0
г« Ў—нё…  Ќ÷н— яня… «б—е‘ њ,гд Ў—ё  Ќ÷н— яня…  њ,0
янЁ «Џгб Ё‘«— »«бя«—«гнб »«б”я— «б»днњ,гд Ёж«∆ѕ «бЁ‘«— њ,0
г« «бг”«Ќ… «б≈ћг«бн… бЁдбдѕ«њ,яг  »бџ г”«Ќ… ≈” ждн«њ,0
янЁ «Ќ÷— г—»Џ«  «бя—«гнбњ,гд Ў—ё  Ќ÷н—  «бя—«гнбњ,0
гд Ў—ё  Ќ÷н— «бнёЎнд »«бб»дњ,гд Ў—ё  Ќ÷н— «бнёЎнд њ,0
Ён √н Џ«г жёЏ  џ“ж… »ѕ— «б√ќн—…њ,Ён √н Џ«г жёЏ  џ“ж… гƒ …њ,0
г« еж  Џ—нЁ «бё—ж÷ ё’н—… «б√ћбњ,г« еж «бё—÷ ё’н—  «б√ћбњ,1
г« ен жўнЁ… гћб” «бж“—«Ѕ «б√—ѕднњ,г« ен гег… гћб” ж“—«Ѕ «бггбя… «б√—ѕдн…њ,1
г« ен ж”«∆б «б« ’«б«  «бЌѕнЋ…њ,янЁ √Ћ—  «б« ’«б«  «бЌѕнЋ… Џбм Ќн« д«њ,0
янЁ «Ќ÷— «бяня «б≈”Ёдћн «б’н«гнњ,гд Ў—ё  Ќ÷н— «бяня «б≈”Ёдћн «б’н«гнњ,1
г«  «—нќ «” ёб«б √г—ня«њ,Ён √н ”д… ё——  √г—ня« гж«ће… «бёж«  «б»—нЎ«дн…њ,0
г« ен Ќёжё «бг—√… Ён «бЏ’— «бћ«ебнњ,янЁ я«д  «бг—√… Ён «бЏ’— «бћ«ебнњ,1
г« ен  —ян»«  ёж«Џѕ «б»н«д« њ,г« ен ёж«Џѕ «б»н«д« њ,0
янЁ нгяд «” —ћ«Џ ябг… ”— «бЁн”»жя ѕжд «б»—нѕ «бџбя —жднњ,янЁ √ќ «— ябг… ”— гд«”»… ббЁн”»жяњ,0
г« Ў—нё…  Ќ÷н— гЌ‘н «бћ“— «б√Ќг— њ,гд Ў—ё  Ќ÷н— гЌ‘н «бћ“—  њ,0
г« Ў—нё…  Ќ÷н— Џћнд… «б»н “« »«бЌбн» њ,гд Ў—ё  Ќ÷н— Џћнд… «б»н “« »«бЌбн»њ,1
г« ен «бя «»…њ,г« «бгё’жѕ »«бя «»…њ,1
гд ег √жб гд ”яд Ён «бћгеж—н… «бћ“«∆—н…њ,бг«–« «” жЎд «б»—»— «бћ»«б Ён «бгдЎё… «б‘г«бн…њ,0
г« еж «бгЁежг «б‘«гб б яджбжћн« «б Џбнгњ,г«–« н‘гб гЁежг  яджбжћн« «б Џбнгњ,1
гд Ў—ё  Ќ÷н—  «бџ—н»… »«бенбњ,гд Ў—ё  Ќ÷н—   «бџ—н»…њ,0
г« «бгё’жѕ »’н«г «б ЎжЏњ,г« еж «б’н«г «бгЁ—ж÷њ,0
г« «бгё’жѕ  »«бгЌ«”»… «бЌяжгнш… њ,г« ен ”б»н«  «бгЌ«”»… «бЌяжгн…њ,0
г« ен √ег «бг—«ћЏ «б н нгяд гд ќб«бе«  Џбг бџ… SQLњ,г« ен бџ… SQLњ,0
г м жбѕ дћн» гЌЁжўњ,Ён √н Џ«г жбѕ дћн» гЌЁжўњ,1
г« ен √‘е— «бгн«ѕнд «бгжћжѕ… Ён »—нЎ«дн«њ,Ён √н Џ«г »дн гнѕ«д »ня«ѕнбнњ,0
г« джЏ «бдў«г «бЌ«яг Ён гѕџ‘ё—њ,г« еж дў«г гѕџ‘ё— «бЌ«ягњ,1
г« Ў—нё…  Ќ÷н— яня… «б‘жяжб« … «б’н«гн њ,гд Ў—ё  Ќ÷н— яня… «б‘жяжб« …  њ,0
яг Џѕѕ ”я«д √жя—«дн«њ,яг н»бџ Џѕѕ ”я«д ”жн”—«њ,0
янЁ «Ќ÷— «б ж”  »«б“Џ — ж«бЋжгњ,гд Ў—ё  Ќ÷н— «б ж”  »«б“Џ — ж«бЋжгњ,1
яг н»бџ  Џѕ«ѕ бнќ д‘ «нд «б”я«днњ,яг н’б «б Џѕ«ѕ «б”я«дн Ён б« Ён«њ,0
≈бм √н ё—д нЏжѕ »д«Ѕ «бёбЏ… «б≈”»«дн…њ,√нд  жћѕ г—«я‘њ,0
г« Ў—нё…  Ќ÷н— ЁЎ¬∆— «б»н»—ждн њ,янЁ «Ќ÷— ЁЎ¬∆— «б»н»—жднњ,1
г« «бд’«∆Ќ «бб«“г… ё»б «бгё«»б… «б‘ќ’н… њ,г«–« дё’ѕ »«бгё«»б… «б‘ќ’н… њ,0
г« еж «бё—÷ ё’н—  «б√ћбњ,гд «дж«Џ «бё—ж÷ њ,0
г« ен ггн“«  «ббџ… «б н  я » »е« «б—”«б… «б—”гн…њ,г« ггн“«  бџ… «б—”«б… «б—”гн…њ,1
янЁ «ён дЁ”н гд «бдя«Ёњ,янЁ «ён дЁ”н гд «»ж яЏ»њ,1
янЁ «Ќ÷— гћѕ—… «б√—“њ,гд Ў—ё  Ќ÷н— «б√—“њ,0
янЁ няжд ‘яб √–д «б÷ЁѕЏњ,г« ‘яб √–д «б÷ЁѕЏњ,1
г« ен Џѕѕ «бг—«  «б н нћ» √д  хя—— »е« гг«—”…  г«—нд «б÷џЎњ,г« ен  г«—нд «б÷џЎњ,0
г« гжёЏ «бё«е—…њ,√нд  ёЏ «б«”ядѕ—н…њ,0
янЁ √Џѕб «б‘«‘… «бгёбж»… бдў«г бндя”њ,г« ”»» «б‘«‘… «бгёбж»…њ,0
гд Ў—ё  Ќ÷н— «бяня «бгЌ‘н »«бя—нг…њ,гд Ў—ё  Ќ÷н— «бя—нг…њ,0
гд ”б»н«  »«б—√”г«бнш… њ,г«–« дё’ѕ »«б—√”г«бнш…њ,0
г«–« н” Џ—÷ г ЌЁ »дя ≈дѕждн”н«њ,г« «”г √жб г ЌЁ Ён «дѕждн”н«њ,0
г« Ў—нё…  Ќ÷н— «бя»ѕ ж«бёж«д’ »«бќ÷«— њ,гд Ў—ё  Ќ÷н— «бя»ѕ ж«бёж«д’ »«бќ÷«—њ,1
г« ен «б”н«Ќ… «б—н«÷н…њ,г«  Џ—нЁ «б”н«Ќ… «б—н«÷н…њ,1
г« «”г Џ«’г… √дѕж—«њ,г« «”г Џ«’г… √б»«дн«њ,0
г« еж «б√бгднжгњ,г«–« дё’ѕ »«б√бгднжгњ,1
г« еж √ёѕг ћ«гЏ Ён Џ«’г… «бћ“«∆—њ,г« √ёѕг ћ«гЏ Ён «бЏ«’г… «бћ“«∆—н…њ,1
г« ен √ег «бгд«’» «б н ‘џбе« гЌгжѕ ѕ—жн‘њ,яг Џѕѕ «бгд«’» «б н «‘ џбе« гЌгжѕ ѕ—жн‘њ,0
г« «бгё’жѕ »«бж”«∆б «бг”гжЏ… Ён Џгбн… «б« ’«бњ,г«–« дё’ѕ »«бж”«∆б «бг”гжЏ… Ён Џгбн… «б« ’«бњ,1
гд еж ё«∆б ё’нѕ… ѕ—… »Ќ—н… гяджд…њ,г« ен ё’нѕ… ѕ—… »Ќ—н… гяджд…њ,0
гд Ў—ё  Ќ÷н— яня «бћ“— ж«бё—Ё…њ,гд Ў—ё  Ќ÷н— яня «бћ“— њ,0
янЁ «Ќ÷— яня… «б“»«ѕн њ,гд Ў—ё  Ќ÷н— яня… њ,0
г« еж «бгд«ќ «б”«∆ѕ Ён «б”Џжѕн…њ,г« ен бџ… «б”Џжѕн… њ,0
«нд »ѕ√  «б‘нжЏн… њ,Ён «н ѕжб… ўе—  «б‘нжЏн… њ,1
г« ен Џ«’г… «бџ«»ждњ,г« Џ«’г… џндн« «б«” ж«∆н…њ,0
янЁ «Ќ÷— «б»уЎш «бг‘жн гЏ «б»— ё«бњ,гд Ў—ё  Ќ÷н— «б»уЎш «бг‘жн гЏ «б»— ё«бњ,1
гд д «∆ћ «д ‘«— «б”цшбъг Ён «бгћ гЏњ,г« «бд «∆ћ «бЏ«∆ѕ… Џбм «бгћ гЏ Џдѕ «д ‘«— «б”бг њ,1
гд «б«гЋб… Џбм  »«ѕб «б”бЏ яджЏ гд «бдёжѕ њ,еб ед«я «гЋб… Џбм  »«ѕб «б”бЏ »ѕб« гд «бдёжѕњ,1
Ён √н Џ«г «” ё«б  ћ“— «бёг— Џд Ё—д”«њ,г м  г «” ёб«б ћ“— «бёг— —”гн«р гд ёж«  «б«Ќ б«б «бЁ—д”нњ,1
г« еж гбќ’ «б Ќбнб «бг«бн њ,г«–« дё’ѕ »«б Ќбнб «бг«бн њ,0
г м  г »д«Ѕ я« ѕ—«∆н… ћ«я— «њ,Ён √н Џ«г »дн  я« ѕ—«∆н… ћ«я— «њ,1
г«–« н√яб √»ж –дн»…њ,г« √егн… џ–«Ѕ «б÷Ё«ѕЏњ,0
≈бм г«–« нЏжѕ «”г ”«Џ… »нћ »ндњ,г« √ег г« нгн“ ”«Џ… »нћ »ндњ,0
г« «бЁ«∆ѕ… гд «б—г“ «б ”б”бн ббе« Ёњ,янЁ √Џ—Ё —г“ е« Ён «б ”б”бнњ,0
г« Ў—нё…  Ќ÷н— Ќ‘ж… «бд”я«Ёне њ,гд Ў—ё  Ќ÷н— яня… «бд”я«Ёнењ,0
янЁ «Ќ÷— я«д жд ’нднњ,гд Ў—ё  Ќ÷н— я«д жд ’нднњ,1
г« ен «Џ—«÷ «бдя«Ёњ,г« ен «Џ—«÷ «»ж ѕџнгњ,1
г« янЁн…  Ќ÷н— «б г—н… »«бг”я—«  њ,г« Ў—нё…  Ќ÷— «б г—н… «бд«»б”н… њ,0
г« ен ќ’«∆’ «б‘нжЏн… њ,г« ен «”«”н«  «б‘нжЏн… њ,0
г« ен Џгб… «б»— џ«б «б—”гн…њ,г« ‘Џ«— «б»— џ«б «бжЎднњ,0
яг  »бџ г”«Ќ… ћ“— «бёг—њ,≈бм яг  ’б г”«Ќ… ћ“— «бёг— «бћџ—«Ён…њ,1
Џбм г«–« н џ–м √»ж –дн»…њ,г« √егн… џ–«Ѕ «б÷Ё«ѕЏњ,0
г« «”г Џ«’г… »ж ”жд«њ,г« Џ«’г… ћ“— г«ѕн—«њ,0
гд ен «бё«—… «б н  Џ »— Ћ«дн √я»— ё«—… Џ«бгн«рњ,г« ен «ббџ… «б√яЋ— ‘нжЏ«р Ён ё«—… ¬”н«њ,0
г« ѕж— «бќгн—… Ён «б ќб’ гд ѕежд «бжћењ,г« ен «бќгн—…њ,0
г«–« дЏдн » Џбнё «бежн… њ,г« гЏдм «бежн… њ,0
Ён √н Џ«г «Ќ б  «бёж«  «б»— џ«бн… ћ“— «бёг—њ,Ён √н ”д… ё«г  «бёж«  «б»— џ«бн… »«Ќ б«б ћ“— «бёг—њ,1
г« «”г Џ«’г… жб«н… днж »—жд“жняњ,г« «”г Џ«’г… джЁ« ”яж‘«њ,0
г« Ў—нё…  Ќ÷н— Ќ”«Ѕ «бёбё«” њ,гд Ў—ё  Ќ÷н— Ќ”«Ѕ  њ,0
г« гд«ќ жб«н… днж »—жд“жня «б”«∆ѕњ,г« еж «бЎё” «б”«∆ѕ Ён ћ“н—… «б√гн— ≈ѕж«—ѕњ,0
г« ен «б”н«Ќ… «бЋё«Ён…њ,г« ен «б”н«Ќ… «б —Ёнен…њ,1
янЁ  ƒЋ— «б —»н… «бгѕ—”н… ж«бгћ гЏн… Џбм «б‘ќ’н…њ,г« «бгё’жѕ »«б —»н… «бгћ гЏн…њ,0
г« еж √д”» жё  бб–е«» ≈бм «бг«бѕнЁњ,г« еж √ћгб жё  бё÷«Ѕ «бжё  Ён ћ“н—… «бг«бѕнЁњ,1
г« Џ«’г… г«бнњ,г« «”г Џ«’г… г«бнњ,1
г«–« нЌѕ ћ“н—… е«н н гд «бџ—»њ,г« ен Ќѕжѕ ћ“н—… е«н н «бџ—»н…њ,1
г« «бггн“«  «б н нёѕге« гжёЏ бндяѕ ≈дњ,янЁ √Џгб Ќ”«» Џбм бндяѕ ≈дњ,0
яг  »бџ г”«Ќ… днж“бдѕ«њ,г« ен «бг”«Ќ… «бћџ—«Ён… бднж“бдѕ«њ,1
г«  Џ—нЁ «б яджбжћн« њ,г«–« дё’ѕ »«б яджбжћн« њ,1
г« Ў—нё…  Ќ÷н— яЏя «б»ё”г«Ў њ,гд Ў—ё  Ќ÷н— яЏя «б»ё”г«Ўњ,1
г« ен Џгб… гж— «дн«њ,г« ен «бЏгб… њ,0
г м ЏЋ— «бежбдѕнжд Џбм √жб ќбнћ  «»Џ б√” —«бн«њ,г м  г «бЏЋж— Џбм √жб ќбнћ  «»Џ б√” —«бн« гд ё»б «бежбдѕнждњ,1
г«–« я«д еѕЁ «бд»н Ён «бќ—жћ бџ“ж… »ж«Ўњ,бг ќ—ћ «бд»н Ён џ“ж… »ж«Ўњ,1
б√н ‘—я… нЏжѕ дў«г «бжндѕж“ ж«бжндѕж“ џждњ,г« еж «бжндѕж“њ,0
Ён √н ”д…  г «ќ —«Џ √жб —ћб ¬бнњ,г м  г «ќ —«Џ √жб —ћб ¬бнњ,1
г« ен Џ«’г… гёѕждн«њ,г« «”г Џ«’г… «бд—жнћњ,0
г« д”»… жћжѕ «б√” —«бнжжд «б√’бнжд Ён √” —«бн«њ,г« д”»… «б√” —«бнжд «б√’бнжд «бгжћжѕжд Ён √” —«бн«њ,1
гд Ў—ё  Ќ÷н— я» яня «б»— ё«б »ѕжд »н÷ њ,гд Ў—ё я» яня «б»— ё«б њ,0
гд √н ће…  Ќѕ «б”Џжѕн… «б√—ѕдњ,яг  »бџ г”«Ќ… Џ«’г… «б√—ѕд Џг«дњ,0
г м  г «” ёб«б ћ“— «бёг— —”гн«р гд ёж«  «б«Ќ б«б «бЁ—д”нњ,≈бм яг  ’б г”«Ќ… ћ“— «бёг— «бћџ—«Ён…њ,0
г« «ег «бЏд«’— «бџ–«∆н… «бгжћжѕ… Ён “»ѕ… «б‘н«њ,г« ен “»ѕ… «б‘н«њ,0
г« еж «бЌ»њ,г« еж  Џ—нЁ «бЌ»њ,1
г« «”г Џ«’г… џндн« »н”«жњ,г« «”г Џ«’г… џндн«њ,0
гд Ў—ё  Ќ÷н— яня «б—гбњ,гд Ў—ё  Ќ÷н— «б—гбњ,0
г« «еѕ«Ё «б дгн… «б«ё ’«ѕн… њ,г« ен «б шдгн… «б«ё ’«ѕнш…њ,0
г« Ў—нё…  Ќ÷н— яня… «б г—  њ,янЁ «Ќ÷— яня… «б г— њ,1
√нд  ёЏ ≈”»«дн« Ён ё«—… √ж—ж»«њ,√нд  жћѕ ”бжЁндн« Ён ё«—… √ж—ж»«њ,0
г м н Ќ—я «бћднд Ён »Ўд «гењ,г м н Ќ—я «бћднд Ён «б—Ќгњ,1
г« Ў—нё…  Ќ÷н— яня… «бгж“ «б»«—ѕ… њ,янЁ «Ќ÷— яня… «бгж“ «б»«—ѕ…њ,1
гд еж «бЌ«—Ћ »д Ќбш“… «бн‘я—нњ,гд еж «бЌ«—Ћ »д Ќбш“… «бн‘я—нњ,1
яг н»бџ «— Ё«Џ г»дм ‘дџе«н жж—бѕ Ёндн‘«б ”д —њ,г« «”г «Ўжб г»дм Ён «б’ндњ,0
яг н’б Џѕѕ «б”я«д Ён ян»яњ,г« Џѕѕ «б”я«д Ён ћ“н—… «б√гн— ≈ѕж«—ѕњ,0
г« ен Џ«’г… бнќ д‘ «ндњ,г« Џ«’г… б« Ён«њ,0
г« еж «бгд«ќ «бЏ«г Ён ”бЎд… Џхг«дњ,г« еж гд«ќ Џхг«д «бЏ«гњ,1
янЁ «Ќ÷— √’«»Џ «бћ»дњ,гд Ў—ё  Ќ÷н— √’«»Џ «бг«“ж—нб«њ,0
г« ен «бЏ«’г… «б—”гн… бгѕџ‘ё—њ,г« Џ«’г… гѕџ‘ё—њ,1
г« ен ЁЌж’«  «бя‘Ё Џд «»ж ’Ё«—њ,г« ен «бЁЌж’«  «бЎ»н… ббн—ё«дњ,1
г«–« дё’ѕ »«бгж«ѕ «бќ«г њ,г« ен «бгж«ѕ «бќ«г њ,1
г« «бЌб бд”н«д ябг… ”— «бЁн”»жяњ,еб нжћѕ Ќбжб б«” Џ«ѕ… ябг… «б”— ббЁн”»жяњ,1
г« «бќЎж«  «бб«“г… бЌ–Ё Ќ”«» Џбм «бЁн”»жяњ,г« Џѕѕ г” ќѕгн Ён”»жяњ,0
√нд  жћѕ »«—н”њ,г« ”»»  ”гн… »«—н” »е–« «б≈”гњ,0
гд Ў—ё  Ќ÷н— «б»Ё ня «бг‘жнњ,г« еж «б»Ё няњ,0
г« ен ’Ё«  гѕн— ‘ƒжд «бгжўЁнд њ,янЁ нћ» «д  яжд ‘ќ’н… гѕн— ‘ƒжд «бгжўЁнд њ,1
янЁ «Ќ÷— ««бЁ«’жбн« «б»н÷«Ѕњ,гд Ў—ё  Ќ÷н— «бЁ«’жбн« «бќ÷—«Ѕњ,0
г« еж Џб«ћ «бдя«Ёњ,г« еж Џб«ћ «»ж яЏ»њ,1
г« гжёЏ днж“бдѕ« «бћџ—«Ёнњ,г« ен г”«Ќ… «бћ“н—… «б‘г«бн… «бднж“бдѕн…њ,0
»г«–«   √Ћ—«б»‘—…њ,г« ен √дж«Џ «б»‘—…њ,0
янЁ «Ќ÷— ”бЎ… «б‘гдѕ— »«б–—…њ,гд Ў—ё  Ќ÷н— ”бЎ…  «б–—…њ,0
г« ен ”б»н«  «бќ‘«Ё њ,г« Ў—нё… Џгб «бќ‘«Ё њ,0
г« еж  √Ћн— «бгќ —Џ«  Џбм Ќн« д«њ,еб √Ћ—  «бгќ —Џ«  Џбм  Ќн« д«њ,1
г« ггн“«  «б«д «ћ њ,г«–« дё’ѕ »«б«д «ћ њ,0
г«–« дё’ѕ »«бё—ж÷ «бг÷гжд… њ,г« еж  Џ—нЁ «бё—ж÷ «бг÷гжд… њ,1
г« Ў—нё…  Ќ÷н— «бя» яня »«б‘жяжб« …  њ,гд Ў—ё  Ќ÷н— «бя» яня   њ,0
г« ен Ёж«∆ѕ «бгн—гнш… «б’Ќнш…њ,≈бм √н ѕ—ћ…  Ёнѕ «бгн—гн… «б’Ќ…њ,1
г« гЏдм «бд« ћ «бгЌбн «б≈ћг«бншњ,г«–« дё’ѕ »«бд« ћ «бгЌбн «б≈ћг«бнш њ,1
г« Ў—нё…  Ќ÷н— «беж  яня »«б Ё«Ќ ж«бё—Ё…  њ,гд Ў—ё  Ќ÷н—  яня »«б Ё«Ќ ж«бё—Ё… њ,0
г« Ў—нё…  Ќ÷н— »н “« ћ»д… «бЁн « гЏ «б»’б њ,гд Ў—ё  Ќ÷н— »н “« ћ»д… «бЁн « гЏ «б»’б њ,1
»г«–«   гн“ «б÷Ё«ѕЏњ,г« «б–н нгн“ «б÷Ё«ѕЏњ,1
г« д”»… «бг”нЌннд Ён «б√—ѕдњ,г« ”»»  ”гн… «б»Ќ— «бгн њ,0
г« еж «бдг‘њ,янЁ н»ѕж ‘яб «бдг‘њ,1
гд «я ‘Ё гѕнд… г« ‘ж »н ‘жњ,гд еж гя ‘Ё г« ‘ж »н ‘жњ,1
янЁ нгяд бб яджбжћн« √д  Ўж— гд г” жм «бЎ«б»њ,г« ѕж— «б яджбжћн« Ён  Ўж— г” жм «бЎб»…њ,1
г« Ў—нё…  Ќ÷н— »”»ж”… «б‘яжб« …њ,гд Ў—ё  Ќ÷н—  «б‘яжб« …њ,0
янЁ «Ќ÷— яня »«бЁж«яењ,гд Ў—ё  Ќ÷н— г—»м «бЁж«яењ,0
г« ен д нћ… «б«” ќ«—…њ,г« д нћ… «б«” ќ«—…њ,1
г« еж «”г ”дџ«Ёж—… «б”н«”нњ,г« еж «б«”г «б”н«”н б”дџ«Ёж—…њ,1
г« «Џ—«÷ «б»—’њ,г« ен «Џ—«÷ «б»—’њ,1
гд еж ё«∆б ё’нѕ… д«б  Џбм нѕе« г« бг  дбе Џбм нѕнњ,г« ен  ё’нѕ… д«б  Џбм нѕе« г« бг  дбе Џбм нѕнњ,0
яг  »бџ яЋ«Ё… «б»ж”д… ж«бе—”я «б”я«дн…њ,яг  »бџ «бяЋ«Ё… «б”я«дн… Ён »бћнян«њ,0
√нд  ёЏ ћгеж—н… ¬н”бдѕ«њ,√нд  ёЏ ¬н”бдѕ«њ,1
янЁ «Ќ÷— ЁЎн—… «бг‘г‘ ж«б‘жяжб« … њ,гд Ў—ё  Ќ÷н— ЁЎн—… «бг‘г‘ ж«б‘жяжб« … њ,1
г« ѕж— «б яджбжћн« Ён  Ўж— г” жм «бЎб»…њ,еб  Ўж— «б яджбжћн« гд г” жм «бЎ«б» «бЏбгнњ,1
г« «б«”г «б—”гн бб»— џ«бњ,г« «бЏгб… «б—”гн… бб»— џ«бњ,0
Ён √н Џ«г √хЌ б  днћн—н« гд «бёж«  «б»— џ«бн…њ,г«  «—нќ  √”н” днћн—н«њ,0
г« д”»… «б”я«д «б√—ѕдннжд «б√’бнжд Ён «б√—ѕдњ,яг  ‘яб д”»… «б√—ѕдннд «б√’б Ён «бггбя… «б√—ѕдн…њ,1
г« ен √÷—«— «” ќѕ«г «бЁн” »жяњ,г« «б√÷—«— «бд« ћ… Џд «” ќѕ«г «бЁн” »жя,1
янЁ «Ќ÷— Ќ‘ж… »н “« «б√д«д«”њ,гд Ў—ё  Ќ÷н— Ќ‘ж… »н “« «б√д«д«”њ,1
Ён √н »бѕ жбѕ гЌгжѕ ѕ—жн‘њ,г« √ћгб ё’нѕ… бгЌгжѕ ѕ—жн‘њ,0
г« Ў—нё…  Ќ÷н— Ќбжм «бя«ћ« «бедѕн…њ,гд Ў—ё  Ќ÷н— Ќбжм «бя«ћ« «бедѕн…њ,1
г« гд«ќ б»д«д «бЏ«гњ,яг Џѕѕ »бѕн«  ¬н”бдѕ«њ,0
яг  »бџ д”»… «б»Ў«б… бгд ег »нд 15-24 Ён гѕџ‘ё—њ,≈бм яг  ’б д”»… «б»Ў«б… бгд √Џг«—ег »нд 15-24 ”д… Ён гѕџ‘ё—њ,1
гд еж √жб Џ«бг ё«г » Ќгн÷ √жб ’ж—…њ,гд «б–н ё«г » Ќгн÷ √жб ’ж—…њ,1
г м  г »д«Ѕ г»дм «бё’»… Ён «бћ“«∆—њ,Ён √н Џ«г »дн г»дм «бё’»… «бћ“«∆—нњ,1
гд «бгѕд «б’д«Џн… Ён «бжЎд «бЏ—»нњ,г« ен «бгѕд «б’д«Џн… Ён «бжЎд «бЏ—»нњ,1
янЁ  ƒѕм ’б«… «бж —њ,г« Ў—нё… ’б«… «бж —њ,1
г« ен Ў—нё… ж’Ё… «б»н÷ б”ѕ г”«г«  «бжћењ,янЁ √” ќѕг «б»н÷ бб‘Џ—њ,0
г« еж «б ÷ќг њ,г«  «—нќ «б ÷ќг њ,0
гд Ў—ё  Ќ÷н—  Ќб«ж… «б”шгнѕ њ,гд Ў—ё  Ќ÷н—  гЏгжб «б”шгнѕњ,0
гд ен «бжб«н… «б√яЋ— «я ў«ў«р »«б”я«д Ён ядѕ«њ,г« «”г «бё«—… «б√яЋ— «я ў«ў«р »«б”я«дњ,0
яг н’б  Џѕ«ѕ ежбдѕ« «б”я«днњ,яг н»бџ  Џѕ«ѕ √дѕж—« «б”я«днњ,0
г« еж «б»—ћ «бгЏ—жЁ Џ«бгн«р »√де √Ўжб «бг»«дн «бќ÷—«Ѕ Џ«бгн«рњ,г« «”г √Ўжб «бг»«дн «бќ÷—«Ѕ Џ«бгн«рњ,1
г« ен «бѕн«д… «б√яЋ— «д ‘«—«р Ён гж”яжњ,яг г д“е  Ќ жн гѕнд… гж”яжњ,0
г« ен Ў—нё…  Ќ÷н— бЁ«∆Ё «б—ж” ж »«ббЌг «бгЁ—жгњ,гд Ў—ё  Ќ÷н— бЁ«∆Ё «б—ж” ж »«ббЌг «бгЁ—жгњ,1
г« жё  ’б«… «бж —њ,г« Ќяг ’б«… «бж —њ,0
яг  »бџ г”«Ќ… ”бжЁндн«њ,яг  ’б «бг”«Ќ… «б≈ћг«бн… б”бжЁндн«њ,1
»г«–«   гн“ ¬б«  «б ’жн— «бЌѕнЋ…њ,г м ўе—  √жб я«гн—«њ,0
г« «бЏё«ён— «б н н Ё«Џб гЏе« «б»ёѕжд”њ,г« «бгё’жѕ »«бЏё«ён—њ,0
г« ”»»  Џ«—÷  д«жб «б»ёѕжд” гЏ «бж«—«Ё«—ндњ,г« еж «бж«—«Ё«—ндњ,0
